
Perirhinal Layer, 24-D input stimuli
Experiment:, list12, 
Stim Condition:, 4, 
 Stimulus Set 1:
Sample 1, [ 0.667 0.950, 0.667 0.050, 0.667 0.667, 0.333 0.667 ],Novel 1, [ 0.667 0.333, 0.050 0.333, 0.333 0.950, 0.950 0.050 ] Sample 2, [ 0.667 0.050, 0.333 0.950, 0.667 0.333, 0.950 0.050 ],Novel 2, [ 0.667 0.667, 0.950 0.950, 0.050 0.667, 0.333 0.333 ] Sample 3, [ 0.950 0.950, 0.950 0.667, 0.050 0.667, 0.050 0.050 ],Novel 3, [ 0.333 0.950, 0.333 0.050, 0.050 0.950, 0.950 0.050 ] Sample 4, [ 0.050 0.950, 0.050 0.667, 0.050 0.050, 0.950 0.950 ],Novel 4, [ 0.333 0.667, 0.333 0.333, 0.950 0.667, 0.333 0.050 ] Sample 5, [ 0.950 0.333, 0.050 0.333, 0.333 0.050, 0.667 0.050 ],Novel 5, [ 0.050 0.667, 0.050 0.050, 0.667 0.950, 0.333 0.950 ] Sample 6, [ 0.950 0.950, 0.333 0.950, 0.950 0.333, 0.050 0.333 ],Novel 6, [ 0.950 0.667, 0.050 0.950, 0.667 0.050, 0.333 0.050 ] Sample 7, [ 0.050 0.050, 0.050 0.950, 0.667 0.333, 0.667 0.950 ],Novel 7, [ 0.333 0.333, 0.333 0.050, 0.333 0.667, 0.050 0.333 ] Sample 8, [ 0.950 0.950, 0.667 0.050, 0.333 0.050, 0.050 0.667 ],Novel 8, [ 0.050 0.950, 0.667 0.667, 0.950 0.050, 0.050 0.050 ] Sample 9, [ 0.667 0.667, 0.950 0.050, 0.950 0.667, 0.050 0.333 ],Novel 9, [ 0.050 0.950, 0.950 0.950, 0.667 0.333, 0.667 0.950 ] Sample 10, [ 0.667 0.950, 0.667 0.333, 0.667 0.667, 0.050 0.667 ],Novel 10, [ 0.333 0.333, 0.950 0.333, 0.333 0.050, 0.050 0.333 ] Sample 11, [ 0.050 0.950, 0.950 0.333, 0.950 0.950, 0.950 0.667 ],Novel 11, [ 0.333 0.667, 0.667 0.950, 0.667 0.050, 0.333 0.050 ] Sample 12, [ 0.950 0.950, 0.333 0.667, 0.950 0.333, 0.050 0.050 ],Novel 12, [ 0.667 0.950, 0.333 0.050, 0.950 0.050, 0.333 0.333 ] 

Simulation, Stimulus Pair, Stimulus, Peak Act, Total Act, Selectivity, Dscore, Win Co-ords
 5, 9, Novel, 15.814282, 68625.639636, 0.000230,, [160 92]
 5, 10, Sample, 82.893063, 86863.146021, 0.000954, 0.572637, [68 113]
 5, 10, Novel, 20.645824, 79612.563226, 0.000259,, [130 78]
 5, 11, Sample, 82.893063, 64178.935198, 0.001292, 0.671067, [164 196]
 5, 11, Novel, 20.260494, 79691.321547, 0.000254,, [109 107]
 5, 12, Sample, 82.893063, 68877.824435, 0.001203, 0.610799, [98 128]
 5, 12, Novel, 21.462303, 73808.208323, 0.000291,, [132 74]
 6, 1, Sample, 53.884737, 86733.422392, 0.000621, 0.443198, [156 5]
 6, 1, Novel, 17.669186, 73716.059782, 0.000240,, [80 97]
 6, 2, Sample, 82.893063, 73832.014543, 0.001123, 0.537251, [50 112]
 6, 2, Novel, 26.929293, 79680.352362, 0.000338,, [56 64]
 6, 3, Sample, 82.893063, 64266.261551, 0.001290, 0.671834, [54 65]
 6, 3, Novel, 16.222737, 64074.932423, 0.000253,, [190 31]
 6, 4, Sample, 82.893063, 60061.283306, 0.001380, 0.707676, [74 166]
 6, 4, Novel, 20.450893, 86562.378963, 0.000236,, [178 186]
 6, 5, Sample, 82.893063, 73938.197627, 0.001121, 0.649397, [173 188]
 6, 5, Novel, 16.329568, 68522.873306, 0.000238,, [167 59]
 6, 6, Sample, 47.086405, 68743.266931, 0.000685, 0.341553, [140 17]
 6, 6, Novel, 23.090636, 68684.360215, 0.000336,, [140 22]
 6, 7, Sample, 82.893063, 68598.060623, 0.001208, 0.666045, [48 86]
 6, 7, Novel, 20.966503, 86560.323134, 0.000242,, [149 92]
 6, 8, Sample, 82.893063, 68868.172154, 0.001204, 0.654826, [107 139]
 6, 8, Novel, 16.090015, 64087.101244, 0.000251,, [121 123]
 6, 9, Sample, 82.893063, 73959.976997, 0.001121, 0.644244, [26 121]
 6, 9, Novel, 16.627439, 68567.479671, 0.000242,, [56 114]
 6, 10, Sample, 82.893063, 86799.099932, 0.000955, 0.586546, [158 8]
 6, 10, Novel, 19.841654, 79726.092162, 0.000249,, [150 94]
 6, 11, Sample, 82.893063, 64129.068022, 0.001293, 0.685399, [164 108]
 6, 11, Novel, 19.228610, 79694.397970, 0.000241,, [133 191]
 6, 12, Sample, 82.893063, 68849.008680, 0.001204, 0.650843, [143 19]
 6, 12, Novel, 18.808774, 73862.568265, 0.000255,, [81 89]
